Resource,Directory,Environment,Account
keys,./structure/resources/accounts/staging/keys/Makefile,NA,staging
kibana,./structure/hubs/hub1/resources/kibana/Makefile,NA,prod-2.0
legal_agreements,./structure/environments/development/resources/legal_agreements/Makefile,development,preprod
legal_agreements,./structure/environments/production/resources/legal_agreements/Makefile,production,prod-3.0
live_reporting_kafka,./structure/environments/datascience/resources/live_reporting_kafka/Makefile,datascience,prod-3.0
loadbalancing,./structure/environments/datascience/loadbalancing/Makefile,datascience,prod-3.0
loadbalancing,./structure/environments/development/loadbalancing/Makefile,development,preprod
logstash,./structure/hubs/hub1/resources/logstash/Makefile,NA,prod-2.0
manager,./structure/environments/datascience/resources/manager/Makefile,datascience,prod-3.0
manager,./structure/environments/development/resources/manager/Makefile,development,preprod
manager,./structure/environments/production/resources/manager/Makefile,production,prod-3.0
manager,./structure/environments/staging/resources/manager/Makefile,staging,staging
manager,./structure/hubs/hub1/resources/manager/Makefile,NA,prod-2.0
mesos_masters,./structure/environments/development/resources/mesos_masters/Makefile,development,preprod
mesos_public_workers,./structure/environments/development/resources/mesos_public_workers/Makefile,development,preprod
mesos_services_workers,./structure/environments/development/resources/mesos_services_workers/Makefile,development,preprod
mobile_configs,./structure/environments/development/resources/mobile_configs/Makefile,development,preprod
monkeyisland,./structure/environments/development/resources/monkeyisland/Makefile,development,preprod
monkeyisland,./structure/hubs/hub1/resources/monkeyisland/Makefile,NA,prod-2.0
nagios,./structure/hubs/hub1/resources/nagios/Makefile,NA,prod-2.0
peering,./structure/environments/datascience/peering/Makefile,datascience,prod-3.0
peering,./structure/environments/development/peering/Makefile,development,preprod
peering,./structure/environments/production/peering/Makefile,production,prod-3.0
peering,./structure/environments/staging/peering/Makefile,staging,staging
peering,./structure/hubs/hub1/peering/Makefile,NA,prod-2.0
presence,./structure/environments/development/resources/presence/Makefile,development,preprod
presence,./structure/environments/production/resources/presence/Makefile,production,prod-3.0
presence,./structure/environments/staging/resources/presence/Makefile,staging,staging
psyclone,./structure/hubs/hub1/resources/psyclone/Makefile,NA,prod-2.0
rabbitmq,./structure/environments/staging/resources/rabbitmq/Makefile,staging,staging
recommendation,./structure/environments/production/resources/recommendation/Makefile,production,prod-3.0
redis,./structure/hubs/hub1/resources/redis/Makefile,NA,prod-2.0
redis_cluster,./structure/environments/staging/resources/redis_cluster/Makefile,staging,staging
redshift,./structure/environments/datascience/resources/redshift/Makefile,datascience,prod-3.0
rpm.grindr.io,./structure/resources/s3/rpm.grindr.io/Makefile,NA,284224159432
s3,./structure/resources/accounts/legacy/s3/Makefile,NA,prod-2.0
s3,./structure/resources/s3/apt.grindr.io/Makefile,NA,284224159432
s3,./structure/resources/s3/isre.grindr.io/Makefile,NA,
s3,./structure/resources/s3/rpm.grindr.io/Makefile,NA,284224159432
sonar-backend,./structure/environments/development/resources/sonar-backend/Makefile,development,preprod
subscriptions-migration,./structure/environments/production/resources/subscriptions-migration/Makefile,production,prod-3.0
zookeeper,./structure/environments/production/resources/zookeeper/Makefile,production,prod-3.0
zookeeper,./structure/environments/staging/resources/zookeeper/Makefile,staging,staging
